epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,523.865,1.23553,0.84636,1.0063,0.82581,0.81573,0.84913,0.54544,1.41075,0.94619,1.07574,0.000539057,0.000539057,0.000539057
28,541.475,1.22756,0.81965,1.00336,0.8228,0.79926,0.85112,0.52937,1.37846,0.97404,1.0626,0.000517059,0.000517059,0.000517059
29,559.097,1.2265,0.81699,0.99925,0.81843,0.84775,0.85991,0.54324,1.35636,0.93212,1.05044,0.000495062,0.000495062,0.000495062
30,576.79,1.2153,0.81217,0.99332,0.81619,0.78843,0.84745,0.54589,1.38183,0.96451,1.06047,0.000473064,0.000473064,0.000473064
31,594.397,1.21719,0.79165,0.99662,0.80879,0.8569,0.86016,0.55368,1.34712,0.92436,1.04966,0.000451066,0.000451066,0.000451066
32,612.326,1.21329,0.78862,0.99222,0.86233,0.79848,0.86033,0.54669,1.37016,0.92686,1.05445,0.000429068,0.000429068,0.000429068
33,630.081,1.19322,0.7662,0.99356,0.82424,0.82736,0.85643,0.55244,1.34851,0.93522,1.04947,0.00040707,0.00040707,0.00040707
34,647.717,1.19027,0.77293,0.98623,0.83924,0.82496,0.85781,0.55017,1.35174,0.92253,1.04677,0.000385073,0.000385073,0.000385073
35,665.404,1.18213,0.75884,0.98581,0.8087,0.82628,0.85404,0.54901,1.40054,0.93435,1.06823,0.000363075,0.000363075,0.000363075
36,683.041,1.18033,0.76052,0.9862,0.79042,0.81224,0.84887,0.54781,1.37345,0.97183,1.05825,0.000341077,0.000341077,0.000341077
37,700.652,1.18169,0.75817,0.98642,0.83507,0.77918,0.8397,0.52514,1.38897,1.03734,1.06198,0.000319079,0.000319079,0.000319079
38,718.32,1.18301,0.75294,0.98418,0.83335,0.79145,0.85124,0.54732,1.36343,0.93704,1.05165,0.000297081,0.000297081,0.000297081
39,735.949,1.16706,0.74196,0.97864,0.81092,0.8383,0.85363,0.54488,1.37942,0.96502,1.0593,0.000275084,0.000275084,0.000275084
40,753.632,1.16048,0.73238,0.97452,0.7979,0.86038,0.85411,0.54846,1.38144,0.94087,1.06257,0.000253086,0.000253086,0.000253086
41,774.008,1.15724,0.74663,0.994,0.81632,0.79618,0.83261,0.53138,1.37558,0.98091,1.05419,0.000231088,0.000231088,0.000231088
